Company Name,Website URL,Company Description,Discovered Date,Outreach Date,Contact Name,Followup Date,Meeting Notes Document URL,Next Step,Built With,Contact Method,Email,Phone Number
Portland Story Tellers,https://www.portlandstorytellers.org/,"""We are a guild of listeners, beginning storytellers, intermediate, experienced and professional storytellers devoted to continuing this time-honored oral tradition.""",08/07/24,,,,,,,,,
Rose City Astronomers,https://www.rosecityastronomers.net/,Astronomy Peeps,08/07/24,,,,,,,,,
Pixie Project,https://www.pixieproject.org/,pet adpotion ,08/07/24, ,,,,,,,,
House of Dreams,https://www.kittydreams.org/,pet adpotion ,08/07/24,,,,,,Wix,,,
Portland Insectarium,https://www.pdxinsectarium.org/,museum/ zoo for insects,08/07/24,,,,,,,,,
Oregon Maritime Museum,https://www.oregonmaritimemuseum.org/,Maritime museum ,08/07/24,,,,,,,,,
Cats in the City,https://catsinthecity.com/,Cat Grooming,08/07/24,,,,,,,,,
Oregon Rail Heritage Center,https://orhf.org/,museum,08/07/24,,,,,,,,,
Luc Lac,https://luclackitchen.com/,Vietamese Kitchen ,08/07/24,,,,,,,,,
Eye Group Assocaites ,https://www.eyegroupassociates.com/,Optomertists ,08/07/24,,,,,,,,,
Paikea Mediatition ,https://paikeamediation.com/, Mediation ,08/07/24,,,,,,,,,
Blyss Chiropractic,https://www.drblyss.com/,Chriopatrior ,08/07/24,,,,,,,,,
Caiman Cafe,https://caimancafe.com/,Cafe,08/07/24,,,,,,,,,
Madeline Warnick Counseling,https://www.madelinewarnickcounseling.com/,Counseling,08/07/24,09/23/24,Madeline Warnick,,,,Square Space,Contact Me form ,,
ND Therapists ,https://ndtherapists.com/,Counseling Directory,08/07/24,,,,,,,,,
New Leaves Clincic,https://newleavesclinic.com/,ND focused therapy clinic,08/07/24,,,,,,,,,
Thunder Kitty,https://thunder-kitty-games-gifts.square.site/,Game Shop,08/08/24,09/23/24,Anan Kanyaluck,,,,Square - payment only maybe> ,Email,THUNDERKITTYGAMES@YAHOO.COM,
Gambits Games,https://gambits-games-and-anime.square.site/,Game Shop,08/08/24,,William Jerome,,,,Square - payment only maybe> ,,,971-255-2130
Stumptown Otaku,https://www.stumptownotaku.com/,Gift Shop,08/08/24,09/23/24,Tommy Ly,,,,Wix,Contact US form ,,
Otherworld Games,https://otherworldsgames.com/,Comic & Games Shop,08/08/24,09/23/24,"Ronald Connell,",,,,WordPress,Email,play@otherworldsgames.com,
The Whole Bowl,https://thewholebowl.com/,Food Cart,08/08/24,09/23/24,,,,,HTML/JS/CSS,Contact Us/ Feedback form ,,
Bubble Tea Artist,https://bubbleteaartist.com/,Bubble Tea Shop,08/08/24,09/23/24,YIn Na,,,,WordpPress,email (linked from ask us about franchaise oppurunties ) ,info@bubbleteaartist.com,
The Lair Salon,https://thelairsalon.net/,Hair Salon,08/08/24,09/23/24,"Mish, Tami",,,,WordPress,email (linked from join our team) ,"steelroseshee@yahoo.com,",(503) 234 0929
ENJOY CO Hair Studio,https://enjoycohairstudio.com/,Hair Salon,08/08/24,,,,,,,,,
Juniper Salon ,https://www.junipersalonpdx.com/,Hair Salon,08/08/24,,,,,,,,,
Evolution Hair Desgin,https://evolutionhairdesign.com/,Hair Salon,08/08/24,,,,,,,,,
Western Pet Supply,https://westernpetpdx.com/,Pet Supply Store,08/08/24,,,,,,,,,
Salty's & Fangs ,https://portlandpetstores.com/,Pet Supply Store,08/08/24,,,,,,,,,
Portland Pet Supply,https://portlandpetsupply.com/,Pet Supply Store,08/08/24,,,,,,,,,
